inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.0069193 1.2052e-05 86236.921 1.26426
0.00395014 1.0345e-05 49394.046 1.31644
0.00592958 1.14101e-05 73612.46 1.27673
0.00592958 1.14101e-05 73607.481 1.32868
0.00592958 1.14101e-05 73612.108 1.31283
0.00395014 1.0345e-05 49390.494 1.40337
0.0069193 1.2052e-05 86226.133 1.32281
0.0069193 1.2052e-05 86229.284 1.27471
0.0069193 1.2052e-05 86212.349 1.2642
0.00395014 1.0345e-05 49397.257 1.29429
0.000980971 9.46789e-06 12404.711 1.31409
0.00790902 1.27526e-05 98241.205 1.19071
0.000980971 9.46789e-06 12408.894 1.24396
0.00493986 1.08372e-05 61509.361 1.22663
0.000980971 9.46789e-06 12405.874 1.28857
0.000980971 9.46789e-06 12410.026 1.2967
0.00493986 1.08372e-05 61498.873 1.3002
0.00493986 1.08372e-05 61500.101 1.23967
0.00790902 1.27526e-05 98244.814 1.30015
0.00493986 1.08372e-05 61505.268 1.26311
0.00790902 1.27526e-05 98237.796 1.2627
0.00790902 1.27526e-05 98242.643 1.29665
0.00197069 9.64969e-06 24781.778 1.29049
0.00197069 9.64969e-06 24778.391 1.30819
0.00296041 9.94531e-06 37101.738 1.34286
0.00296041 9.94531e-06 37100.514 1.34923
0.00197069 9.64969e-06 24779.077 1.36854
0.00197069 9.64969e-06 24776.501 1.30204
0.00592958 1.14101e-05 73619.497 1.2919
0.00296041 9.94531e-06 37102.041 1.33453
0.00296041 9.94531e-06 37101.109 1.31831
0.00395014 1.0345e-05 49385.768 1.2924
