inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.000980971 9.46789e-06 14409.134 1.53439
0.00197069 9.64969e-06 28786.712 1.53282
0.00197069 9.64969e-06 28789.761 1.58689
0.00592958 1.14101e-05 85838.772 1.52527
0.00197069 9.64969e-06 28791.757 1.53368
0.00197069 9.64969e-06 28793.358 1.56594
0.00296041 9.94531e-06 43091.622 1.60006
0.00296041 9.94531e-06 43090.84 1.64165
0.0069193 1.2052e-05 99950.99 1.41129
0.00395014 1.0345e-05 57299.673 1.50152
0.00296041 9.94531e-06 43084.911 1.6696
0.00395014 1.0345e-05 57296.699 1.47254
0.0069193 1.2052e-05 99955.31 1.43266
0.00395014 1.0345e-05 57293.181 1.5086
0.00296041 9.94531e-06 43088.753 1.68838
0.00395014 1.0345e-05 57295.548 1.4879
0.00592958 1.14101e-05 85848.165 1.49828
0.0069193 1.2052e-05 99945.365 1.48802
0.0069193 1.2052e-05 99943.235 1.4464
0.00592958 1.14101e-05 85834.302 1.55537
0.000980971 9.46789e-06 14411.281 1.62052
0.000980971 9.46789e-06 14408.177 1.6127
0.000980971 9.46789e-06 14409.315 1.54233
0.00592958 1.14101e-05 85853.133 1.52429
