inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00988847 1.42946e-05 89700.101 0.920553
0.0108782 1.51217e-05 98280.587 1.39962
0.0108782 1.51217e-05 98269.776 1.30819
0.00493986 1.08372e-05 44987.404 1.04161
0.00790902 1.27526e-05 71473.907 0.950766
0.00493986 1.08372e-05 44989.81 0.982571
0.00296041 9.94531e-06 27069.119 0.934547
0.00790902 1.27526e-05 71472.178 1.332
0.00493986 1.08372e-05 44989.332 0.951272
0.0108782 1.51217e-05 98276.709 1.46541
0.0069193 1.2052e-05 62664.156 1.04532
0.00592958 1.14101e-05 53858.71 0.911804
0.00889875 1.35027e-05 80627.99 1.30787
0.00592958 1.14101e-05 53855.741 0.906091
0.00592958 1.14101e-05 53860.84 0.920815
0.0069193 1.2052e-05 62670.091 0.976401
0.00889875 1.35027e-05 80623.43 0.999238
0.0069193 1.2052e-05 62672.622 0.940766
0.00197069 9.64969e-06 18072.737 0.933972
0.00395014 1.0345e-05 36048.011 0.970363
0.000980971 9.46789e-06 9048.4551 0.918693
0.00296041 9.94531e-06 27067.512 0.964388
0.00197069 9.64969e-06 18071.565 0.931075
0.00197069 9.64969e-06 18072.311 0.941221
0.00197069 9.64969e-06 18072.898 0.92882
0.00296041 9.94531e-06 27066.558 0.962008
0.00395014 1.0345e-05 36046.473 0.979862
0.00889875 1.35027e-05 80636.349 0.904653
0.00395014 1.0345e-05 36044.422 0.943225
0.00592958 1.14101e-05 53858.294 0.957006
0.00395014 1.0345e-05 36047.644 0.940954
0.00296041 9.94531e-06 27065.249 0.996198
0.00988847 1.42946e-05 89705.597 0.935161
0.00988847 1.42946e-05 89699.199 0.898389
0.00493986 1.08372e-05 44993.389 0.959494
0.000980971 9.46789e-06 9047.4593 0.92397
0.000980971 9.46789e-06 9047.2551 0.937791
0.0069193 1.2052e-05 62669.435 0.993734
0.00790902 1.27526e-05 71480.094 0.928006
0.000980971 9.46789e-06 9047.5677 0.912586
0.0108782 1.51217e-05 98268.744 1.3778
0.00988847 1.42946e-05 89704.51 0.921583
