inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00395014 1.0345e-05 53422.266 1.38838
0.00395014 1.0345e-05 53413.818 1.37814
0.00592958 1.14101e-05 79861.68 1.43323
0.00395014 1.0345e-05 53414.101 1.35176
0.00197069 9.64969e-06 26828.539 1.4021
0.00592958 1.14101e-05 79853.44 1.41452
0.00592958 1.14101e-05 79848.9 1.42663
0.00493986 1.08372e-05 66418.675 1.55621
0.000980971 9.46789e-06 13442.255 1.25543
0.00296041 9.94531e-06 40155.158 1.42001
0.00395014 1.0345e-05 53426.571 1.38291
0.00296041 9.94531e-06 40155.446 1.40627
0.00296041 9.94531e-06 40158.708 1.39753
0.00493986 1.08372e-05 66421.907 1.57535
0.000980971 9.46789e-06 13442.253 1.36054
0.00493986 1.08372e-05 66425.556 1.60216
0.000980971 9.46789e-06 13440.917 1.38091
0.0069193 1.2052e-05 93428.478 1.44314
0.00493986 1.08372e-05 66420.257 1.56086
0.000980971 9.46789e-06 13440.141 1.40583
0.0069193 1.2052e-05 93429.751 1.44426
0.0069193 1.2052e-05 93431.621 1.40675
0.00296041 9.94531e-06 40154.098 1.4102
0.0069193 1.2052e-05 93426.46 1.42414
0.00592958 1.14101e-05 79852.779 1.39105
0.00197069 9.64969e-06 26833.872 1.42074
0.00197069 9.64969e-06 26827.563 1.35737
0.00197069 9.64969e-06 26835.653 1.36471
