inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00592958 1.14101e-05 94742.244 2.13533
0.00197069 9.64969e-06 31761.596 1.76183
0.00197069 9.64969e-06 31756.538 1.67184
0.00197069 9.64969e-06 31752.803 1.65805
0.000980971 9.46789e-06 15882.815 1.69544
0.000980971 9.46789e-06 15885.071 1.72035
0.00395014 1.0345e-05 63092.16 1.65944
0.000980971 9.46789e-06 15888.179 1.73511
0.00493986 1.08372e-05 78798.95 1.69727
0.00395014 1.0345e-05 63099.657 1.7422
0.00296041 9.94531e-06 47517.328 1.82303
0.00493986 1.08372e-05 78795.286 1.7325
0.00493986 1.08372e-05 78806.661 1.71233
0.00296041 9.94531e-06 47513.828 1.91906
0.00493986 1.08372e-05 78792.046 1.76931
0.00395014 1.0345e-05 63100.178 1.71464
0.00296041 9.94531e-06 47513.147 1.82932
0.00395014 1.0345e-05 63109.106 1.6889
0.00296041 9.94531e-06 47514.753 1.91432
0.000980971 9.46789e-06 15887.87 1.7354
0.00592958 1.14101e-05 94764.867 2.21847
0.00592958 1.14101e-05 94755.693 2.22712
0.00197069 9.64969e-06 31752.3 1.78685
0.00592958 1.14101e-05 94745.555 2.12662
