inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00592958 1.14101e-05 38930.063 0.673172
0.0118679 1.59784e-05 77327.512 0.697338
0.0118679 1.59784e-05 77328.512 0.748254
0.00592958 1.14101e-05 38929.104 0.671485
0.00592958 1.14101e-05 38934.287 0.668848
0.0148371 1.86856e-05 96482.711 1.11577
0.00395014 1.0345e-05 26012.019 0.692449
0.0108782 1.51217e-05 70773.619 0.702732
0.0118679 1.59784e-05 77323.4 0.695869
0.0108782 1.51217e-05 70768.676 0.70939
0.00395014 1.0345e-05 26013.915 0.713837
0.00197069 9.64969e-06 13041.62 0.674834
0.00493986 1.08372e-05 32484.701 0.730198
0.00296041 9.94531e-06 19523.483 0.682829
0.0069193 1.2052e-05 45388.602 0.686438
0.00296041 9.94531e-06 19522.675 0.677363
0.00493986 1.08372e-05 32487.232 0.722516
0.00395014 1.0345e-05 26014.178 0.665944
0.00296041 9.94531e-06 19522.97 0.663692
0.00493986 1.08372e-05 32485.167 0.731416
0.00296041 9.94531e-06 19525.22 0.679776
0.000980971 9.46789e-06 6525.1038 0.654894
0.00790902 1.27526e-05 51771.074 0.760895
0.00296041 9.94531e-06 19525.648 0.681376
0.0069193 1.2052e-05 45398.046 0.684466
0.00395014 1.0345e-05 26014.943 0.72577
0.00790902 1.27526e-05 51771.141 0.771692
0.000980971 9.46789e-06 6525.4509 0.643061
0.0069193 1.2052e-05 45390.582 0.68974
0.00790902 1.27526e-05 51774.394 0.756329
0.000980971 9.46789e-06 6526.0131 0.651552
0.00493986 1.08372e-05 32484.047 0.716005
0.0069193 1.2052e-05 45384.529 0.67707
0.00790902 1.27526e-05 51770.759 0.776295
0.000980971 9.46789e-06 6525.4906 0.652254
0.00889875 1.35027e-05 58127.158 0.90474
0.0148371 1.86856e-05 96478.625 1.15017
0.00197069 9.64969e-06 13040.857 0.679855
0.00197069 9.64969e-06 13042.786 0.704653
0.00197069 9.64969e-06 13043.556 0.680526
0.0108782 1.51217e-05 70774.807 0.711809
0.0148371 1.86856e-05 96489.291 1.07631
0.00889875 1.35027e-05 58128.176 0.935121
0.0118679 1.59784e-05 77321.405 0.707795
0.00889875 1.35027e-05 58137.247 0.896749
0.0148371 1.86856e-05 96475.241 1.10312
0.00592958 1.14101e-05 38931.814 0.6951
0.00889875 1.35027e-05 58128.57 0.920107
