inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00592958 1.14101e-05 30874.065 0.769242
0.00592958 1.14101e-05 30870.886 0.805909
0.00988847 1.42946e-05 51248.983 0.860963
0.00296041 9.94531e-06 15463.679 0.75318
0.00889875 1.35027e-05 46210.365 0.742651
0.00592958 1.14101e-05 30870.223 0.773997
0.0069193 1.2052e-05 36003.812 0.700226
0.0069193 1.2052e-05 36008.215 0.723088
0.0069193 1.2052e-05 36007.657 0.684773
0.000980971 9.46789e-06 5166.0935 0.625629
0.00790902 1.27526e-05 41110.286 0.680763
0.0148371 1.86856e-05 76512.213 0.800754
0.00197069 9.64969e-06 10327.025 0.665065
0.0148371 1.86856e-05 76506.157 0.78146
0.00790902 1.27526e-05 41111.007 0.693114
0.00493986 1.08372e-05 25749.815 0.74599
0.00395014 1.0345e-05 20608.794 0.770015
0.0148371 1.86856e-05 76502.186 0.766796
0.00790902 1.27526e-05 41108.709 0.669532
0.00493986 1.08372e-05 25748.814 0.754133
0.0148371 1.86856e-05 76512.858 0.776267
0.0168165 2.05742e-05 86925.475 0.679294
0.0118679 1.59784e-05 61234.281 1.40546
0.00395014 1.0345e-05 20610.457 0.786566
0.0118679 1.59784e-05 61240.251 1.47072
0.0168165 2.05742e-05 86920.927 0.648194
0.0168165 2.05742e-05 86923.741 0.663178
0.00493986 1.08372e-05 25748.026 0.755408
0.00197069 9.64969e-06 10326.465 0.661365
0.0118679 1.59784e-05 61235.095 1.40125
0.00296041 9.94531e-06 15464.773 0.787344
0.00493986 1.08372e-05 25748.684 0.754755
0.00197069 9.64969e-06 10326.829 0.675671
0.00296041 9.94531e-06 15464.973 0.742343
0.00395014 1.0345e-05 20613.774 0.769101
0.0118679 1.59784e-05 61243.541 1.36981
0.00790902 1.27526e-05 41110.204 0.691073
0.00395014 1.0345e-05 20610.746 0.741719
0.00197069 9.64969e-06 10326.11 0.664321
0.0069193 1.2052e-05 36007.762 0.690142
0.00988847 1.42946e-05 51253.929 0.914157
0.00889875 1.35027e-05 46206.173 0.738252
0.0108782 1.51217e-05 56271.948 1.05405
0.0168165 2.05742e-05 86922.458 0.654457
0.000980971 9.46789e-06 5167.3121 0.592515
0.000980971 9.46789e-06 5165.9408 0.625332
0.000980971 9.46789e-06 5166.1651 0.642546
0.00889875 1.35027e-05 46205.653 0.75256
0.00988847 1.42946e-05 51251.713 0.855065
0.0108782 1.51217e-05 56272.748 1.00524
0.0108782 1.51217e-05 56270.061 1.01951
0.00988847 1.42946e-05 51253.281 0.887453
0.00296041 9.94531e-06 15464.16 0.722675
0.00889875 1.35027e-05 46208.376 0.73853
0.0108782 1.51217e-05 56270.924 1.07329
0.00592958 1.14101e-05 30872.311 0.785448
