inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.0069193 1.2052e-05 78614.219 1.17262
0.000980971 9.46789e-06 11348.808 1.15542
0.0069193 1.2052e-05 78619.564 1.19263
0.0069193 1.2052e-05 78609.504 1.15103
0.00493986 1.08372e-05 56268.147 1.13333
0.000980971 9.46789e-06 11349.432 1.16846
0.0069193 1.2052e-05 78628.878 1.1601
0.000980971 9.46789e-06 11350.663 1.15672
0.00592958 1.14101e-05 67123.763 1.09706
0.00197069 9.64969e-06 22656.272 1.11241
0.00197069 9.64969e-06 22658.371 1.10425
0.00197069 9.64969e-06 22654.517 1.14123
0.00790902 1.27526e-05 90044.774 1.11738
0.00592958 1.14101e-05 67131.908 1.08994
0.00197069 9.64969e-06 22653.854 1.10839
0.00790902 1.27526e-05 90056.762 1.15207
0.00395014 1.0345e-05 45136.638 1.16
0.00790902 1.27526e-05 90047.854 1.15702
0.00592958 1.14101e-05 67123.326 1.10593
0.00592958 1.14101e-05 67123.719 1.15358
0.000980971 9.46789e-06 11348.97 1.14461
0.00493986 1.08372e-05 56259.372 1.13245
0.00395014 1.0345e-05 45137.699 1.18256
0.00395014 1.0345e-05 45135.984 1.1746
0.00296041 9.94531e-06 33921.651 1.12673
0.00493986 1.08372e-05 56264.58 1.12796
0.00790902 1.27526e-05 90038.005 1.12516
0.00296041 9.94531e-06 33920.508 1.12552
0.00493986 1.08372e-05 56258.656 1.10721
0.00296041 9.94531e-06 33920.474 1.098
0.00395014 1.0345e-05 45141.29 1.13573
0.00296041 9.94531e-06 33921.197 1.15711
