in s,C4 in V
-7.9966400E-05,-3.94141E-05
-7.9783200E-05,-4.91797E-05
-7.9600000E-05,-1.98828E-05
-7.9416800E-05,-3.51563E-07
-7.9233600E-05,-3.94141E-05
-7.9050400E-05,-7.84766E-05
-7.8867200E-05,-2.96484E-05
-7.8684000E-05,-6.87109E-05
-7.8500800E-05,-2.96484E-05
-7.8317600E-05,-3.94141E-05
-7.8134400E-05,-1.01172E-05
-7.7951200E-05,-2.96484E-05
-7.7768000E-05,-3.94141E-05
-7.7584800E-05,-1.01172E-05
-7.7401600E-05,-5.89453E-05
-7.7218400E-05,-6.87109E-05
-7.7035200E-05,-3.94141E-05
-7.6852000E-05,-5.89453E-05
-7.6668800E-05,-4.91797E-05
-7.6485600E-05,-5.89453E-05
-7.6302400E-05,-2.96484E-05
-7.6119200E-05,-1.01172E-05
-7.5936000E-05,-3.94141E-05
-7.5752800E-05,-6.87109E-05
-7.5569600E-05,-5.89453E-05
-7.5386400E-05,-2.96484E-05
-7.5203200E-05,-2.96484E-05
-7.5020000E-05,-2.96484E-05
-7.4836800E-05,-2.96484E-05
-7.4653600E-05,-6.87109E-05
-7.4470400E-05,-1.01172E-05
-7.4287200E-05,-5.89453E-05
-7.4104000E-05,-4.91797E-05
-7.3920800E-05,-7.84766E-05
-7.3737600E-05,-1.01172E-05
-7.3554400E-05,-2.96484E-05
-7.3371200E-05,-3.51563E-07
-7.3188000E-05,-2.96484E-05
-7.3004800E-05,-1.01172E-05
-7.2821600E-05,-3.94141E-05
-7.2638400E-05,-4.91797E-05
-7.2455200E-05,-1.98828E-05
-7.2272000E-05,-3.94141E-05
-7.2088800E-05,-1.98828E-05
-7.1905600E-05,-3.94141E-05
-7.1722400E-05,-1.98828E-05
-7.1539200E-05,-5.89453E-05
-7.1356000E-05,-6.87109E-05
-7.1172800E-05,-3.94141E-05
-7.0989600E-05,-4.91797E-05
-7.0806400E-05,-2.96484E-05
-7.0623200E-05,-3.51563E-07
-7.0440000E-05,-4.91797E-05
-7.0256800E-05,-3.94141E-05
-7.0073600E-05,-5.89453E-05
-6.9890400E-05,-2.96484E-05
-6.9707200E-05,-4.91797E-05
-6.9524000E-05,1.91797E-05
-6.9340800E-05,-2.96484E-05
-6.9157600E-05,-3.51563E-07
-6.8974400E-05,-1.98828E-05
-6.8791200E-05,-3.94141E-05
-6.8608000E-05,-1.01172E-05
-6.8424800E-05,-3.94141E-05
-6.8241600E-05,-2.96484E-05
-6.8058400E-05,-1.98828E-05
-6.7875200E-05,-6.87109E-05
-6.7692000E-05,-1.98828E-05
-6.7508800E-05,-3.94141E-05
-6.7325600E-05,-2.96484E-05
-6.7142400E-05,-1.01172E-05
-6.6959200E-05,-3.94141E-05
-6.6776000E-05,-3.51563E-07
-6.6592800E-05,-5.89453E-05
-6.6409600E-05,-1.98828E-05
-6.6226400E-05,-2.96484E-05
-6.6043200E-05,-3.94141E-05
-6.5860000E-05,-5.89453E-05
-6.5676800E-05,-7.84766E-05
-6.5493600E-05,-6.87109E-05
-6.5310400E-05,-9.80078E-05
-6.5127200E-05,-6.87109E-05
-6.4944000E-05,-2.96484E-05
-6.4760800E-05,-1.98828E-05
-6.4577600E-05,-6.87109E-05
-6.4394400E-05,-3.51563E-07
-6.4211200E-05,-8.82422E-05
-6.4028000E-05,-3.94141E-05
-6.3844800E-05,-6.87109E-05
-6.3661600E-05,-4.91797E-05
-6.3478400E-05,-3.94141E-05
-6.3295200E-05,-2.96484E-05
-6.3112000E-05,-2.96484E-05
-6.2928800E-05,-7.84766E-05
-6.2745600E-05,-1.07773E-04
-6.2562400E-05,-3.94141E-05
-6.2379200E-05,-4.91797E-05
-6.2196000E-05,-4.91797E-05
-6.2012800E-05,-1.01172E-05
-6.1829600E-05,-6.87109E-05
-6.1646400E-05,-6.87109E-05
-6.1463200E-05,-5.89453E-05
-6.1280000E-05,-5.89453E-05
-6.1096800E-05,-6.87109E-05
-6.0913600E-05,-2.96484E-05
-6.0730400E-05,-7.84766E-05
-6.0547200E-05,-4.91797E-05
-6.0364000E-05,-5.89453E-05
-6.0180800E-05,-3.94141E-05
-5.9997600E-05,-7.84766E-05
-5.9814400E-05,-2.96484E-05
-5.9631200E-05,-3.94141E-05
-5.9448000E-05,-3.94141E-05
-5.9264800E-05,-3.94141E-05
-5.9081600E-05,-5.89453E-05
-5.8898400E-05,-4.91797E-05
-5.8715200E-05,-7.84766E-05
-5.8532000E-05,-3.94141E-05
-5.8348800E-05,-2.96484E-05
-5.8165600E-05,-4.91797E-05
-5.7982400E-05,-3.94141E-05
-5.7799200E-05,-3.94141E-05
-5.7616000E-05,-4.91797E-05
-5.7432800E-05,-4.91797E-05
-5.7249600E-05,-2.96484E-05
-5.7066400E-05,-3.51563E-07
-5.6883200E-05,-1.98828E-05
-5.6700000E-05,-7.84766E-05
-5.6516800E-05,-3.94141E-05
-5.6333600E-05,-5.89453E-05
-5.6150400E-05,-2.96484E-05
-5.5967200E-05,-4.91797E-05
-5.5784000E-05,-7.84766E-05
-5.5600800E-05,-3.94141E-05
-5.5417600E-05,-5.89453E-05
-5.5234400E-05,-1.01172E-05
-5.5051200E-05,-3.94141E-05
-5.4868000E-05,-5.89453E-05
-5.4684800E-05,-3.94141E-05
-5.4501600E-05,-7.84766E-05
-5.4318400E-05,-4.91797E-05
-5.4135200E-05,-5.89453E-05
-5.3952000E-05,-5.89453E-05
-5.3768800E-05,-5.89453E-05
-5.3585600E-05,-6.87109E-05
-5.3402400E-05,-8.82422E-05
-5.3219200E-05,-2.96484E-05
-5.3036000E-05,-5.89453E-05
-5.2852800E-05,-3.94141E-05
-5.2669600E-05,-3.94141E-05
-5.2486400E-05,-2.96484E-05
-5.2303200E-05,-5.89453E-05
-5.2120000E-05,-3.94141E-05
-5.1936800E-05,-2.96484E-05
-5.1753600E-05,-5.89453E-05
-5.1570400E-05,-4.91797E-05
-5.1387200E-05,-4.91797E-05
-5.1204000E-05,-1.98828E-05
-5.1020800E-05,-1.98828E-05
-5.0837600E-05,-1.98828E-05
-5.0654400E-05,-1.98828E-05
-5.0471200E-05,-5.89453E-05
-5.0288000E-05,-7.84766E-05
-5.0104800E-05,-5.89453E-05
-4.9921600E-05,-7.84766E-05
-4.9738400E-05,-6.87109E-05
-4.9555200E-05,-1.98828E-05
-4.9372000E-05,-1.01172E-05
-4.9188800E-05,-3.94141E-05
-4.9005600E-05,-1.01172E-05
-4.8822400E-05,-2.96484E-05
-4.8639200E-05,-5.89453E-05
-4.8456000E-05,-3.94141E-05
-4.8272800E-05,-4.91797E-05
-4.8089600E-05,-4.91797E-05
-4.7906400E-05,-1.01172E-05
-4.7723200E-05,-7.84766E-05
-4.7540000E-05,-5.89453E-05
-4.7356800E-05,-3.94141E-05
-4.7173600E-05,-1.98828E-05
-4.6990400E-05,-7.84766E-05
-4.6807200E-05,-6.87109E-05
-4.6624000E-05,-1.98828E-05
-4.6440800E-05,-3.94141E-05
-4.6257600E-05,-5.89453E-05
-4.6074400E-05,-3.94141E-05
-4.5891200E-05,-1.98828E-05
-4.5708000E-05,-7.84766E-05
-4.5524800E-05,-6.87109E-05
-4.5341600E-05,-8.82422E-05
-4.5158400E-05,-2.96484E-05
-4.4975200E-05,-1.01172E-05
-4.4792000E-05,-3.94141E-05
-4.4608800E-05,-5.89453E-05
-4.4425600E-05,-4.91797E-05
-4.4242400E-05,-2.96484E-05
-4.4059200E-05,-3.94141E-05
-4.3876000E-05,-5.89453E-05
-4.3692800E-05,-5.89453E-05
-4.3509600E-05,-1.98828E-05
-4.3326400E-05,-3.94141E-05
-4.3143200E-05,-5.89453E-05
-4.2960000E-05,-3.94141E-05
-4.2776800E-05,-6.87109E-05
-4.2593600E-05,-5.89453E-05
-4.2410400E-05,-8.82422E-05
-4.2227200E-05,-5.89453E-05
-4.2044000E-05,-1.98828E-05
-4.1860800E-05,-2.96484E-05
-4.1677600E-05,-4.91797E-05
-4.1494400E-05,-4.91797E-05
-4.1311200E-05,-5.89453E-05
