in s,C4 in V
-9.0056000E-06,-2.64844E-05
-8.8224000E-06,-2.64844E-05
-8.6392000E-06,3.21094E-05
-8.4560000E-06,-4.60156E-05
-8.2728000E-06,-6.95312E-06
-8.0896000E-06,-2.64844E-05
-7.9064000E-06,-6.95312E-06
-7.7232000E-06,1.25781E-05
-7.5400000E-06,-6.95312E-06
-7.3568000E-06,-6.95312E-06
-7.1736000E-06,-4.60156E-05
-6.9904000E-06,-2.64844E-05
-6.8072000E-06,-6.55469E-05
-6.6240000E-06,-6.95312E-06
-6.4408000E-06,-6.95312E-06
-6.2576000E-06,-4.60156E-05
-6.0744000E-06,-6.95312E-06
-5.8912000E-06,-6.95312E-06
-5.7080000E-06,-2.64844E-05
-5.5248000E-06,-1.04609E-04
-5.3416000E-06,9.07031E-05
-5.1584000E-06,-4.60156E-05
-4.9752000E-06,-2.64844E-05
-4.7920000E-06,-2.64844E-05
-4.6088000E-06,-6.95312E-06
-4.4256000E-06,-4.60156E-05
-4.2424000E-06,1.25781E-05
-4.0592000E-06,-6.95312E-06
-3.8760000E-06,1.25781E-05
-3.6928000E-06,-6.95312E-06
-3.5096000E-06,-4.60156E-05
-3.3264000E-06,3.21094E-05
-3.1432000E-06,1.25781E-05
-2.9600000E-06,-2.64844E-05
-2.7768000E-06,1.25781E-05
-2.5936000E-06,-6.55469E-05
-2.4104000E-06,5.16406E-05
-2.2272000E-06,-2.64844E-05
-2.0440000E-06,-2.64844E-05
-1.8608000E-06,-6.55469E-05
-1.6776000E-06,-6.95312E-06
-1.4944000E-06,-4.60156E-05
-1.3112000E-06,1.25781E-05
-1.1280000E-06,-6.95312E-06
-9.4480000E-07,7.11719E-05
-7.6160000E-07,-6.95312E-06
-5.7840000E-07,1.25781E-05
-3.9520000E-07,3.21094E-05
-2.1200000E-07,-6.95312E-06
-2.8800000E-08,-6.95312E-06
1.5440000E-07,9.81727E-03
3.3760000E-07,9.87586E-03
5.2080000E-07,9.89539E-03
7.0400000E-07,9.83680E-03
8.8720000E-07,9.89539E-03
1.0704000E-06,9.81727E-03
1.2536000E-06,9.89539E-03
1.4368000E-06,9.89539E-03
1.6200000E-06,9.89539E-03
1.8032000E-06,9.89539E-03
1.9864000E-06,9.93445E-03
2.1696000E-06,9.89539E-03
2.3528000E-06,9.93445E-03
2.5360000E-06,9.85633E-03
2.7192000E-06,9.95398E-03
2.9024000E-06,9.87586E-03
3.0856000E-06,9.97352E-03
3.2688000E-06,9.85633E-03
3.4520000E-06,9.99305E-03
3.6352000E-06,9.91492E-03
3.8184000E-06,9.91492E-03
4.0016000E-06,9.93445E-03
4.1848000E-06,9.91492E-03
4.3680000E-06,9.91492E-03
4.5512000E-06,9.93445E-03
4.7344000E-06,9.93445E-03
4.9176000E-06,9.97352E-03
5.1008000E-06,9.85633E-03
5.2840000E-06,9.91492E-03
5.4672000E-06,9.97352E-03
5.6504000E-06,9.93445E-03
5.8336000E-06,9.95398E-03
6.0168000E-06,9.97352E-03
6.2000000E-06,9.93445E-03
6.3832000E-06,9.95398E-03
6.5664000E-06,9.95398E-03
6.7496000E-06,9.95398E-03
6.9328000E-06,9.93445E-03
7.1160000E-06,1.29766E-04
7.2992000E-06,1.29766E-04
7.4824000E-06,1.29766E-04
7.6656000E-06,3.21094E-05
7.8488000E-06,9.07031E-05
8.0320000E-06,3.21094E-05
8.2152000E-06,1.49297E-04
8.3984000E-06,9.07031E-05
8.5816000E-06,9.07031E-05
8.7648000E-06,3.21094E-05
8.9480000E-06,7.11719E-05
9.1312000E-06,5.16406E-05
9.3144000E-06,7.11719E-05
9.4976000E-06,3.21094E-05
9.6808000E-06,5.16406E-05
9.8640000E-06,3.21094E-05
1.0047200E-05,3.21094E-05
1.0230400E-05,1.25781E-05
1.0413600E-05,5.16406E-05
