amp_mean ampl_sigm gain_set abs_gain
78574.6 67.32 63 340.7
44873.8 37.94 30 194.6
78561.1 66.07 63 340.6
44871.4 36.24 30 194.5
32405.4 26.93 20 140.5
78556.6 68.06 63 340.6
11045.2 20.98 5 47.89
18563.1 19.36 10 80.48
32411.9 28.56 20 140.5
41954.3 45.64 1 181.9
11045.4 20.25 5 47.89
41960 45.97 1 181.9
18563.7 19.61 10 80.48
56125.7 45.99 40 243.3
11043.6 20.48 5 47.88
18563.9 20.61 10 80.48
18566 19.72 10 80.49
11044.9 21.34 5 47.89
41963 47.15 1 181.9
66272.8 60.95 50 287.3
66275.8 61.98 50 287.3
32428.9 27.73 20 140.6
41969.7 46.21 1 182
66279.5 64.11 50 287.4
56123.6 46.06 40 243.3
32418.2 28.68 20 140.5
56120.9 45.06 40 243.3
66274.9 63.09 50 287.3
56125.3 48.68 40 243.3
78557.2 64.92 63 340.6
44885.7 37.12 30 194.6
44883.1 38.3 30 194.6
