amp_mean ampl_sigm gain_set abs_gain
11385.8 21.71 2 27.44
11386.4 20.46 2 27.44
33304.3 26.62 10 80.25
11386.8 20.76 2 27.44
46036 32 15 110.9
46032.1 33.68 15 110.9
91547.9 59.39 1 220.6
91003.8 46.38 35 219.3
57941.1 40.28 20 139.6
57942.6 40.25 20 139.6
91021.7 44.73 35 219.3
91005.3 44.35 35 219.3
57940.1 39.58 20 139.6
57942.8 39.28 20 139.6
91006 45.57 35 219.3
91561.9 56.82 1 220.6
80353.8 41.74 30 193.6
46037 32.56 15 110.9
80346.9 42.49 30 193.6
91552.2 60 1 220.6
80346.5 41.8 30 193.6
46036 33.12 15 110.9
33304.9 26.49 10 80.25
33303.7 26.57 10 80.25
33305.1 25.22 10 80.25
91574.3 57 1 220.7
80349 40.36 30 193.6
11385.6 20.92 2 27.44
