63	341.9
63	341.9
63	341.9
10	80.36
20	140.4
20	140.4
63	341.9
40	244
40	244
50	288.9
1	166.9
1	166.9
30	194.7
1	166.9
1	166.9
30	194.7
30	194.7
50	288.9
30	194.7
50	288.9
40	244
50	288.9
40	244
20	140.4
20	140.4
10	80.34
10	80.35
10	80.34
63	340.7
30	194.6
63	340.6
30	194.5
20	140.5
63	340.6
5	47.89
10	80.48
20	140.5
1	181.9
5	47.89
1	181.9
10	80.48
40	243.3
5	47.88
10	80.48
10	80.49
5	47.89
1	181.9
50	287.3
50	287.3
20	140.6
1	182
50	287.4
40	243.3
20	140.5
40	243.3
50	287.3
40	243.3
63	340.6
30	194.6
30	194.6
1	202.4
55	308.7
1	202.4
55	308.7
55	308.7
50	288.7
20	140.2
30	193.6
40	242.8
20	140.2
50	288.6
50	288.6
20	140.2
1	202.4
30	193.6
5	47.84
50	288.7
20	140.2
40	242.8
40	242.8
30	193.6
5	47.84
30	193.6
5	47.83
5	47.84
40	242.8
10	80.36
10	80.36
55	308.8
10	80.36
10	80.35
1	202.4
2	27.44
2	27.44
10	80.25
2	27.44
15	110.9
15	110.9
1	220.6
35	219.3
20	139.6
20	139.6
35	219.3
35	219.3
20	139.6
20	139.6
35	219.3
1	220.6
30	193.6
15	110.9
30	193.6
1	220.6
30	193.6
15	110.9
10	80.25
10	80.25
10	80.25
1	220.7
30	193.6
2	27.44
