amp_mean ampl_sigm gain_set abs_gain
47365.3 82.43 63 341.9
47370.3 83.3 63 341.9
47369.3 77.35 63 341.9
11133.9 23.26 10 80.36
19452.4 29.96 20 140.4
19453.5 30.7 20 140.4
47367.5 81.11 63 341.9
33808 50 40 244
33810.8 49.13 40 244
40028.5 61.55 50 288.9
23122.7 47.72 1 166.9
23122.1 45.9 1 166.9
26974.4 41.18 30 194.7
23124.1 47.53 1 166.9
23122.7 47.86 1 166.9
26975.9 41.6 30 194.7
26976.5 42.22 30 194.7
40028.7 61.92 50 288.9
26975.1 41.69 30 194.7
40032.9 61.84 50 288.9
33812.2 50.93 40 244
40029.7 62.43 50 288.9
33811.6 50.12 40 244
19453.3 30.32 20 140.4
19450.7 29.81 20 140.4
11130.7 22.07 10 80.34
11133.2 23.09 10 80.35
11131.6 22.99 10 80.34
