in s,M2 in V
-2.133972E-01,-1.5793457E+00
-2.133876E-01,-1.5793762E+00
-2.133780E-01,-1.5794678E+00
-2.133684E-01,-1.5794678E+00
-2.133588E-01,-1.5794678E+00
-2.133492E-01,-1.5794678E+00
-2.133396E-01,-1.5794678E+00
-2.133300E-01,-1.5795288E+00
-2.133204E-01,-1.5795593E+00
-2.133108E-01,-1.5794678E+00
-2.133012E-01,-1.5794678E+00
-2.132916E-01,-1.5795898E+00
-2.132820E-01,-1.5796814E+00
-2.132724E-01,-1.5795898E+00
-2.132628E-01,-1.5795898E+00
-2.132532E-01,-1.5794678E+00
-2.132436E-01,-1.5796204E+00
-2.132340E-01,-1.5797119E+00
-2.132244E-01,-1.5795898E+00
-2.132148E-01,-1.5796204E+00
-2.132052E-01,-1.5795288E+00
-2.131956E-01,-1.5796204E+00
-2.131860E-01,-1.5796509E+00
-2.131764E-01,-1.5795288E+00
-2.131668E-01,-1.5794983E+00
-2.131572E-01,-1.5795288E+00
-2.131476E-01,-1.5794983E+00
-2.131380E-01,-1.5795593E+00
-2.131284E-01,-1.5795288E+00
-2.131188E-01,-1.5795593E+00
-2.131092E-01,-1.5795288E+00
-2.130996E-01,-1.5796814E+00
-2.130900E-01,-1.5795898E+00
-2.130804E-01,-1.5795288E+00
-2.130708E-01,-1.5795288E+00
-2.130612E-01,-1.5795288E+00
-2.130516E-01,-1.5795593E+00
-2.130420E-01,-1.5795593E+00
-2.130324E-01,-1.5794373E+00
-2.130228E-01,-1.5795898E+00
-2.130132E-01,-1.5796204E+00
-2.130036E-01,-1.5796814E+00
-2.129940E-01,-1.5798035E+00
-2.129844E-01,-1.5797729E+00
-2.129748E-01,-1.5795898E+00
-2.129652E-01,-1.5795593E+00
-2.129556E-01,-1.5795593E+00
-2.129460E-01,-1.5795593E+00
-2.129364E-01,-1.5794983E+00
-2.129268E-01,-1.5796204E+00
-2.129172E-01,-1.5794373E+00
-2.129076E-01,-1.5794373E+00
-2.128980E-01,-1.5794067E+00
-2.128884E-01,-1.5793762E+00
-2.128788E-01,-1.5794373E+00
-2.128692E-01,-1.5794678E+00
-2.128596E-01,-1.5794678E+00
-2.128500E-01,-1.5794983E+00
-2.128404E-01,-1.5794678E+00
-2.128308E-01,-1.5793457E+00
-2.128212E-01,-1.5794373E+00
-2.128116E-01,-1.5794067E+00
-2.128020E-01,-1.5794373E+00
-2.127924E-01,-1.5794983E+00
-2.127828E-01,-1.5794067E+00
-2.127732E-01,-1.5794067E+00
-2.127636E-01,-1.5793762E+00
-2.127540E-01,-1.5794067E+00
-2.127444E-01,-1.5793762E+00
-2.127348E-01,-1.5794678E+00
-2.127252E-01,-1.5794373E+00
-2.127156E-01,-1.5793457E+00
-2.127060E-01,-1.5793457E+00
-2.126964E-01,-1.5794678E+00
-2.126868E-01,-1.5793152E+00
-2.126772E-01,-1.5794678E+00
-2.126676E-01,-1.5795898E+00
-2.126580E-01,-1.5797729E+00
-2.126484E-01,-1.5796204E+00
-2.126388E-01,-1.5794983E+00
-2.126292E-01,-1.5795898E+00
-2.126196E-01,-1.5796509E+00
-2.126100E-01,-1.5795288E+00
-2.126004E-01,-1.5794373E+00
-2.125908E-01,-1.5796509E+00
-2.125812E-01,-1.5795898E+00
-2.125716E-01,-1.5794983E+00
-2.125620E-01,-1.5794983E+00
-2.125524E-01,-1.5794373E+00
-2.125428E-01,-1.5794373E+00
-2.125332E-01,-1.5795288E+00
-2.125236E-01,-1.5795593E+00
-2.125140E-01,-1.5797119E+00
-2.125044E-01,-1.5796509E+00
-2.124948E-01,-1.5797119E+00
-2.124852E-01,-1.5796204E+00
-2.124756E-01,-1.5795288E+00
-2.124660E-01,-1.5793762E+00
-2.124564E-01,-1.5793457E+00
-2.124468E-01,-1.5795288E+00
-2.124372E-01,-1.5794983E+00
-2.124276E-01,-1.5795593E+00
-2.124180E-01,-1.5795898E+00
-2.124084E-01,-1.5796204E+00
-2.123988E-01,-1.5795288E+00
-2.123892E-01,-1.5794983E+00
-2.123796E-01,-1.5794678E+00
-2.123700E-01,-1.5792236E+00
-2.123604E-01,-1.5793762E+00
-2.123508E-01,-1.5794373E+00
-2.123412E-01,-1.5793762E+00
-2.123316E-01,-1.5793762E+00
-2.123220E-01,-1.5794678E+00
-2.123124E-01,-1.5795593E+00
-2.123028E-01,-1.5796814E+00
-2.122932E-01,-1.5794983E+00
-2.122836E-01,-1.5795288E+00
-2.122740E-01,-1.5797729E+00
-2.122644E-01,-1.5795898E+00
-2.122548E-01,-1.5795898E+00
-2.122452E-01,-1.5794678E+00
-2.122356E-01,-1.5794983E+00
-2.122260E-01,-1.5794678E+00
-2.122164E-01,-1.5796204E+00
-2.122068E-01,-1.5795288E+00
-2.121972E-01,-1.5795593E+00
-2.121876E-01,-1.5796204E+00
-2.121780E-01,-1.5795593E+00
-2.121684E-01,-1.5796509E+00
-2.121588E-01,-1.5795898E+00
-2.121492E-01,-1.5795593E+00
-2.121396E-01,-1.5795288E+00
-2.121300E-01,-1.5795288E+00
-2.121204E-01,-1.5795288E+00
-2.121108E-01,-1.5795593E+00
-2.121012E-01,-1.5795898E+00
-2.120916E-01,-1.5796204E+00
-2.120820E-01,-1.5795898E+00
-2.120724E-01,-1.5794983E+00
-2.120628E-01,-1.5795593E+00
-2.120532E-01,-1.5795593E+00
-2.120436E-01,-1.5795288E+00
-2.120340E-01,-1.5796204E+00
-2.120244E-01,-1.5795288E+00
-2.120148E-01,-1.5795898E+00
-2.120052E-01,-1.5794678E+00
-2.119956E-01,-1.5794678E+00
-2.119860E-01,-1.5795593E+00
-2.119764E-01,-1.5794067E+00
-2.119668E-01,-1.5794067E+00
-2.119572E-01,-1.5794373E+00
-2.119476E-01,-1.5793762E+00
-2.119380E-01,-1.5795288E+00
-2.119284E-01,-1.5795288E+00
-2.119188E-01,-1.5796204E+00
-2.119092E-01,-1.5794678E+00
-2.118996E-01,-1.5794067E+00
-2.118900E-01,-1.5792542E+00
-2.118804E-01,-1.5792236E+00
-2.118708E-01,-1.5794373E+00
-2.118612E-01,-1.5794067E+00
-2.118516E-01,-1.5794983E+00
-2.118420E-01,-1.5795593E+00
-2.118324E-01,-1.5795288E+00
-2.118228E-01,-1.5795288E+00
-2.118132E-01,-1.5794373E+00
-2.118036E-01,-1.5795288E+00
-2.117940E-01,-1.5794678E+00
-2.117844E-01,-1.5793762E+00
-2.117748E-01,-1.5794067E+00
-2.117652E-01,-1.5795593E+00
-2.117556E-01,-1.5795288E+00
-2.117460E-01,-1.5794983E+00
-2.117364E-01,-1.5794373E+00
-2.117268E-01,-1.5795593E+00
-2.117172E-01,-1.5796204E+00
-2.117076E-01,-1.5796814E+00
-2.116980E-01,-1.5794373E+00
-2.116884E-01,-1.5794373E+00
-2.116788E-01,-1.5795288E+00
-2.116692E-01,-1.5795288E+00
-2.116596E-01,-1.5794983E+00
-2.116500E-01,-1.5795593E+00
-2.116404E-01,-1.5795898E+00
-2.116308E-01,-1.5796204E+00
-2.116212E-01,-1.5795593E+00
-2.116116E-01,-1.5795593E+00
-2.116020E-01,-1.5796204E+00
-2.115924E-01,-1.5794983E+00
-2.115828E-01,-1.5794373E+00
-2.115732E-01,-1.5795288E+00
-2.115636E-01,-1.5794983E+00
-2.115540E-01,-1.5794983E+00
-2.115444E-01,-1.5794678E+00
-2.115348E-01,-1.5794067E+00
-2.115252E-01,-1.5794067E+00
-2.115156E-01,-1.5794067E+00
-2.115060E-01,-1.5794373E+00
-2.114964E-01,-1.5795288E+00
-2.114868E-01,-1.5795898E+00
-2.114772E-01,-1.5796509E+00
-2.114676E-01,-1.5796204E+00
-2.114580E-01,-1.5795898E+00
-2.114484E-01,-1.5794373E+00
-2.114388E-01,-1.5795593E+00
-2.114292E-01,-1.5795288E+00
-2.114196E-01,-1.5795898E+00
-2.114100E-01,-1.5795288E+00
-2.114004E-01,-1.5795288E+00
-2.113908E-01,-1.5796509E+00
-2.113812E-01,-1.5797729E+00
-2.113716E-01,-1.5797424E+00
